time,index,address,title,heat
Fri Aug  9 11:38:28 2019,1,https://www.zhihu.com/question/338226156,如果你是 Mix 晴子，在这种天降流量的情况下，你会怎样留住这些关注者呢？,4181 万热度
Fri Aug  9 11:38:28 2019,2,https://www.zhihu.com/question/339171133,一个顶俩 (lia) 成语接龙怎么接？,1892 万热度
Fri Aug  9 11:38:28 2019,3,https://www.zhihu.com/question/339422830,最新的《长安十二时辰》44-46 集有哪些亮点？,1647 万热度
Fri Aug  9 11:38:28 2019,4,https://www.zhihu.com/question/317600442,你小时候有哪些自以为瞒天过海却被父母知道得一清二楚的事？,1555 万热度
Fri Aug  9 11:38:28 2019,5,https://www.zhihu.com/question/338978365,考上武大是件丢人的事吗？,1062 万热度
Fri Aug  9 11:38:28 2019,6,https://www.zhihu.com/question/338734274,如何快速记下所有奥特曼？,783 万热度
Fri Aug  9 11:38:28 2019,7,https://www.zhihu.com/question/333156433,电影《烈火英雄》是否值得一看？,764 万热度
Fri Aug  9 11:38:28 2019,8,https://www.zhihu.com/question/326221396,一个演员的演技能惊艳到什么程度？,695 万热度
Fri Aug  9 11:38:28 2019,9,https://www.zhihu.com/question/338070549,老公愚孝，该不该离婚？,646 万热度
Fri Aug  9 11:38:28 2019,10,https://www.zhihu.com/roundtable/thebigband,如何评价《乐队的夏天》里乐手的真实水平？,642 万热度
Fri Aug  9 11:38:28 2019,11,https://www.zhihu.com/question/338747186,头婚女嫁给一个非常爱你的二婚男，该嫁吗？,645 万热度
Fri Aug  9 11:38:28 2019,12,https://www.zhihu.com/question/339436436,如何看待杨幂魏大勋传出疑似恋情的消息？,544 万热度
Fri Aug  9 11:38:28 2019,13,https://www.zhihu.com/question/338849246,向领导提辞职，领导只回复了一个字「好」，这是什么意思？,426 万热度
Fri Aug  9 11:38:28 2019,14,https://www.zhihu.com/question/333026642,女生什么样的身材算是身材好？,410 万热度
Fri Aug  9 11:38:28 2019,15,https://www.zhihu.com/question/338989912,为啥闪耀暖暖截图看起来有点绿茶?,390 万热度
Fri Aug  9 11:38:28 2019,16,https://www.zhihu.com/question/339277075,如何看待主持人涂磊坐飞机因静脉曲张脚蹬机舱事件及其道歉？,350 万热度
Fri Aug  9 11:38:28 2019,17,https://www.zhihu.com/question/339161648,一斤水溶一斤盐，最后的质量是两斤吗？,318 万热度
Fri Aug  9 11:38:28 2019,18,https://www.zhihu.com/question/37674023,为什么在公共场合总是容易变得非常拘束，做事难以游刃有余？,295 万热度
Fri Aug  9 11:38:28 2019,19,https://www.zhihu.com/question/327641082,高铁上为何没有座号 E 呢？,274 万热度
