code,name
4,IPv4
6,IPv6
640,北京(青云3b)
579,河南郑州(景安网络)
647,江苏南京(蓝视云)
641,广东广州(青云)
728,香港(amazon)
587,香港(dmit.io)
650,香港(蓝视云)
344,印度班加罗尔(DIGITALOCEAN-BLR1)
157,新加坡(DIGITALOCEAN)
357,新加坡(VULTR)
216,新加坡(linode)
147,日本东京(VULTR)
363,日本品川区(linode)
129,日本大阪(k-opti.com)
109,澳大利亚悉尼(VULTR)
407,俄罗斯圣彼得堡(misaka.io)
209,德国法兰克福(DIGITALOCEAN-FRA1)
120,德国法兰克福(VULTR)
250,德国法兰克福(linode)
630,拉脱维亚里加(makonix.com)
521,摩尔多瓦基希讷乌(mivocloud.com)
128,摩尔多瓦基希讷乌(trabia.com)
82,法国巴黎(VULTR)
627,法国鲁贝
135,瑞典哥德堡(makonix.com)
646,瑞典法尔肯贝里(glesys.se)
628,芬兰赫尔辛基(firstbyte.ru)
214,英国伦敦(DIGITALOCEAN-LON1)
121,英国伦敦(VULTR)
165,英国伦敦(linode)
35,荷兰阿姆斯特丹(DIGITALOCEAN-AMS1)
205,荷兰阿姆斯特丹(DIGITALOCEAN-AMS2)
206,荷兰阿姆斯特丹(DIGITALOCEAN-AMS3)
46,荷兰阿姆斯特丹(VULTR)
673,西班牙马拉加
273,加拿大多伦多(DIGITALOCEAN-TOR1)
643,加拿大多伦多(VULTR)
158,美国亚特兰大(VULTR)
182,美国亚特兰大(linode)
162,美国圣何塞(VULTR)
49,美国旧金山(DIGITALOCEAN-SFO1)
555,美国旧金山(DIGITALOCEAN-SFO2)
265,美国洛杉矶(VULTR)
203,美国皮斯卡特维(VULTR)
222,美国纽瓦克(linode)
260,美国纽约(DIGITALOCEAN-NYC1)
204,美国纽约(DIGITALOCEAN-NYC3)
95,美国芝加哥(VULTR)
72,美国西雅图(VULTR)
56,美国费利蒙(linode)
103,美国达拉斯(VULTR)
69,美国迈阿密(VULTR)
73,巴西圣保罗
I,ICMP
T,TCP
